X1 Hours Studied,X2 Previous Scores,X3 Extracurricular Activities,X4 Sleep Hours,X5 Sample Question Papers Practiced,Y Performance Index
2,49,1,5,7,25.0
4,70,1,6,8,53.0
8,54,0,6,6,48.0
9,46,1,7,3,40.0
7,75,0,8,6,66.0
1,53,1,8,5,29.0
3,95,1,4,2,73.0
9,87,0,8,9,89.0
1,53,1,6,2,27.0
9,42,1,8,0,40.0
8,88,1,7,4,83.0
1,92,1,7,7,69.0
6,85,1,6,5,72.0
5,89,1,6,7,77.0
6,42,1,6,6,32.0
5,61,0,8,1,49.0
6,58,1,8,7,44.0
5,74,0,5,3,57.0
5,51,0,9,4,34.0
4,93,0,9,7,76.0
3,44,0,4,4,22.0
3,49,0,8,4,30.0
4,80,0,5,5,67.0
9,72,0,5,6,71.0
2,52,1,7,8,29.0
9,74,1,8,6,74.0
1,90,1,5,5,67.0
1,71,0,7,9,46.0
5,50,1,4,3,34.0
6,87,0,7,9,76.0
6,77,0,4,1,64.0
3,63,1,9,8,46.0
7,74,0,9,9,68.0
9,58,0,6,4,58.0
8,45,1,6,4,41.0
6,79,0,7,2,64.0
8,93,1,6,2,84.0
5,84,0,8,0,70.0
8,83,0,7,4,77.0
4,81,1,5,2,60.0
8,74,1,8,1,65.0
2,43,1,7,8,21.0
5,72,0,9,9,60.0
9,52,0,4,5,48.0
4,95,1,6,2,77.0
6,75,1,6,6,63.0
1,93,1,6,8,68.0
9,82,0,7,8,81.0
1,58,0,8,0,29.0
5,82,1,4,1,66.0
4,51,1,6,7,36.0
3,50,1,8,0,29.0
6,45,0,5,2,32.0
2,51,1,9,6,31.0
3,66,1,5,7,45.0
5,80,1,4,4,65.0
9,64,0,6,1,57.0
2,81,0,5,2,58.0
8,42,1,9,8,38.0
2,42,0,8,9,22.0
5,59,1,8,6,48.0
7,67,1,5,0,59.0
8,62,1,6,2,58.0
1,87,1,9,8,62.0
6,42,0,4,6,30.0
1,81,1,6,1,56.0
2,63,1,7,5,40.0
1,82,0,5,8,59.0
5,79,1,7,3,65.0
9,45,0,5,9,43.0
6,59,1,4,1,48.0
1,50,1,6,2,24.0
1,71,1,9,6,51.0
2,99,1,6,3,81.0
9,66,0,5,6,62.0
3,60,1,8,4,43.0
1,83,0,7,7,63.0
5,87,0,9,7,73.0
7,89,0,9,4,76.0
6,52,1,6,6,43.0
1,61,0,6,5,34.0
5,74,0,5,7,57.0
5,86,0,8,8,72.0
6,61,1,7,4,47.0
3,67,1,8,6,52.0
5,60,0,9,0,49.0
7,85,0,8,7,77.0
5,57,1,5,2,41.0
5,70,0,8,0,56.0
5,99,0,7,5,89.0
3,85,0,9,7,65.0
1,76,1,4,2,49.0
5,60,0,9,0,48.0
9,53,0,4,2,47.0
